tweet_id,favorite_count,retweet_count
826240494070030336,14097,2815
826204788643753985,5182,1016
826115272272650244,16652,3416
825876512159186944,11124,2038
825829644528148480,13547,2713
825535076884762624,55338,18751
825147591692263424,19462,4989
825120256414846976,0,1400
825026590719483904,6750,1400
824796380199809024,0,5997
824775126675836928,15917,3843
824663926340194305,10710,1894
824325613288833024,12532,11329
824297048279236611,16020,4222
824025158776213504,5078,646
823939628516474880,11327,2959
823719002937630720,0,12267
823699002998870016,13385,2644
823581115634085888,13878,2888
823333489516937216,741,29
823322678127919110,16749,4387
823269594223824897,0,10769
822975315408461824,18400,3758
822872901745569793,140945,47947
822859134160621569,14074,2493
822647212903690241,0,7017
822610361945911296,15727,3239
822489057087389700,19339,7017
822462944365645825,30361,16040
822244816520155136,37317,10769
822163064745328640,0,5259
821886076407029760,12108,2562
821813639212650496,0,3653
821765923262631936,8981,1820
821522889702862852,8556,1935
821421320206483457,0,6126
821407182352777218,12560,4766
821153421864615936,271,10
821149554670182400,9310,2204
821107785811234820,10224,2330
821044531881721856,13509,2508
820837357901512704,0,7334
820749716845686786,33659,10856
820690176645140481,13019,3535
820494788566847489,0,621
820446719150292993,0,2832
820314633777061888,3560,621
820078625395449857,21154,6883
820013781606658049,0,1301
819952236453363712,5677,1301
819924195358416896,13736,5307
819711362133872643,14370,3439
819588359383371776,10209,2156
819347104292290561,7711,1324
819238181065359361,2435,443
819227688460238848,24660,7334
819015337530290176,0,40220
819015331746349057,0,20730
819006400881917954,48221,20730
819004803107983360,92275,40220
818646164899774465,0,22876
818627210458333184,23707,8161
818614493328580609,10542,2835
818588835076603904,0,6737
818536468981415936,11659,2720
818307523543449600,0,8916
818259473185828864,11788,2510
818145370475810820,13137,2850
817908911860748288,5178,866
817827839487737858,55449,29797
817777686764523521,11443,2934
817536400337801217,12624,3330
817502432452313088,0,3717
817423860136083457,36604,16431
817415592588222464,6006,1059
817181837579653120,0,9335
817171292965273600,9331,2208
817120970343411712,13017,2881
817056546584727552,9174,1817
816829038950027264,0,5182
816816676327063552,10693,2235
816697700272001025,10487,2430
816450570814898180,32725,8916
816336735214911488,9201,2148
816091915477250048,9559,2366
